cell_id,step,x,y,replicate
32,18,192,179,0
33,18,138,166,0
34,18,127,115,0
35,18,93,16,0
36,18,151,193,0
37,18,141,22,0
38,18,39,140,0
39,18,65,108,0
40,18,40,27,0
41,18,29,181,0
42,18,100,100,0
43,18,69,166,0
44,18,100,99,0
45,18,47,150,0
46,18,39,87,0
47,18,87,191,0
48,18,47,71,0
49,18,59,157,0
0,19,180,167,0
1,19,94,67,0
2,19,130,65,0
3,19,175,83,0
4,19,192,54,0
5,19,165,63,0
6,19,111,117,0
7,19,184,184,0
8,19,168,129,0
9,19,57,26,0
10,19,138,27,0
11,19,65,183,0
12,19,133,179,0
13,19,80,92,0
14,19,64,161,0
15,19,152,189,0
16,19,33,168,0
17,19,147,142,0
18,19,101,99,0
19,19,142,126,0
20,19,12,181,0
21,19,8,174,0
22,19,30,109,0
23,19,186,180,0
24,19,33,173,0
25,19,138,57,0
26,19,77,113,0
27,19,189,25,0
28,19,61,152,0
29,19,122,67,0
30,19,133,135,0
31,19,37,46,0
32,19,192,179,0
33,19,138,166,0
34,19,127,115,0
35,19,93,16,0
36,19,151,193,0
37,19,141,22,0
38,19,39,140,0
39,19,65,108,0
40,19,40,27,0
41,19,29,181,0
42,19,100,100,0
43,19,69,166,0
44,19,100,101,0
45,19,47,150,0
46,19,39,87,0
47,19,87,191,0
48,19,47,71,0
49,19,59,157,0
0,20,180,167,0
1,20,94,67,0
2,20,130,65,0
3,20,175,83,0
4,20,192,54,0
5,20,165,63,0
6,20,111,117,0
7,20,184,184,0
8,20,168,129,0
9,20,57,26,0
10,20,138,27,0
11,20,65,183,0
12,20,133,179,0
13,20,80,92,0
14,20,64,161,0
15,20,152,189,0
16,20,33,168,0
17,20,147,142,0
18,20,99,101,0
19,20,142,126,0
20,20,12,181,0
21,20,8,174,0
22,20,30,109,0
23,20,186,180,0
24,20,33,173,0
25,20,138,57,0
26,20,77,113,0
27,20,189,25,0
28,20,61,152,0
29,20,122,67,0
30,20,133,135,0
31,20,37,46,0
32,20,192,179,0
33,20,138,166,0
34,20,127,115,0
35,20,93,16,0
36,20,151,193,0
37,20,141,22,0
38,20,39,140,0
39,20,65,108,0
40,20,40,27,0
41,20,29,181,0
42,20,100,100,0
43,20,69,166,0
44,20,100,99,0
45,20,47,150,0
46,20,39,87,0
47,20,87,191,0
48,20,47,71,0
49,20,59,157,0
0,21,180,167,0
